Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4
9026957,"In an affiliation matrix with people as the row objects and groups as the column objects, the _____________________ sums give us the number of people in each group.",42,15,16,11,200,37,5,0.8809523809523809,0.11904761904761904,14,15,8,0.10487528344671203,0.32384453592227247,0.8809523809523809,0.2484231913009408,0.33872170807533086,-0.11158179868529612,-0.5963854757317555,-0.006833065947407834
9026068,In general you can multiply any Am x n matrix ✕ any Bq x p matrix as long as:,38,18,14,6,200,38,0,1.0,0.0,18,14,6,0.0,0.0,1.0,0.2484231913009408,,,,
9027096,A _____________________ graph is a graph with two disjoint sets of nodes in which nodes link only to nodes in the other set but not with nodes in their own set,32,11,14,7,200,32,0,1.0,0.0,11,14,7,0.0,0.0,1.0,0.2484231913009408,,,,
9026090,The off-diagonal cells of the _____________________ matrix tell us the number of groups that person i and person j have in common.,32,12,11,9,200,27,5,0.84375,0.15625,12,10,5,0.1318359375,0.3630921887069453,0.84375,0.2484231913009408,0.4158037834988362,-0.21306751705205668,-0.1636605565762175,-0.2930802134188708
9026084,"
If you multiply an Am x nmatrix ✕ a Bq x pmatrix, the resulting matrix C will be of dimensions:
",37,12,21,4,200,36,1,0.972972972972973,0.02702702702702703,12,21,3,0.026296566837107377,0.16216216216216217,0.972972972972973,0.2484231913009408,0.20023571015840663,,,-0.20023571015840685
9026065,Consider an affiliation matrix (A) with people as the row objects and groups as the column objects. Multiplying the transpose of the original AT times the original A returns a square matrix with _____________________ in both the rows and columns.,41,18,18,5,200,33,8,0.8048780487804879,0.1951219512195122,16,15,2,0.1570493753718025,0.39629455632370536,0.8048780487804879,0.2484231913009408,0.3490647492176587,-0.5451852448944021,-0.037286739107273814,-0.05635669672694845
9028094,The following is NOT an example of an affiliation network:,35,11,15,9,200,28,7,0.8,0.2,10,11,7,0.16,0.4,0.8,0.2484231913009408,0.18910171565836237,-0.24522496562533805,0.04381517576873014,
9026091,The following is an example of an affiliation network:,35,12,12,11,200,30,5,0.8571428571428571,0.14285714285714285,12,10,8,0.12244897959183673,0.3499271061118826,0.8571428571428571,0.2484231913009408,0.3030889867453743,0.011479928336325277,-0.20768233990260934,-0.26209744345604125
9026067,A bipartite graph has:,44,14,16,14,200,41,3,0.9318181818181818,0.06818181818181818,14,14,13,0.06353305785123967,0.25205764787294127,0.9318181818181818,0.2484231913009408,0.13235850794264575,,-0.14618991561922576,-0.01953112567788965
9026959,"In a bipartite graph, the sum of degrees of either node set is equal to _______________________ in the graph.",42,11,19,12,200,41,1,0.9761904761904762,0.023809523809523808,11,19,11,0.023242630385487528,0.1524553389864964,0.9761904761904762,0.2484231913009408,0.5462816795788565,,,-0.5462816795788563
9027099,The diagonal cells of the _____________________ matrix tell us the number of groups each person belongs to.,39,17,11,11,200,33,6,0.8461538461538461,0.15384615384615385,16,10,7,0.1301775147928994,0.36080121229410994,0.8461538461538461,0.2484231913009408,0.3589933980548717,0.014786195405302434,-0.4303633887867412,-0.2430396794007116
9026107,Consider an affiliation matrix (A) with people as the row objects and groups as the column objects. Multiplying A times its transpose AT returns a square matrix with _____________________ in both the rows and columns called the co-membership matrix.,36,13,16,7,200,33,3,0.9166666666666666,0.08333333333333333,13,15,5,0.0763888888888889,0.27638539919628335,0.9166666666666666,0.2484231913009408,0.5464090899587384,-0.46019754592325707,,-0.3291373844227949
9026087,The _____________________ matrix records the adjacency relations between vertices in a bipartite graph.,41,11,19,11,200,40,1,0.975609756097561,0.024390243902439025,10,19,11,0.02379535990481856,0.1542574468374819,0.975609756097561,0.2484231913009408,-0.12673351101672586,0.1267335110167258,,
9023899,"Because weak ties function as bridges to parts of a social structure to which you wouldn’t otherwise have access, having weak ties counts as social capital whenever it is important to have access to _____________________ information.",31,12,14,5,200,31,0,1.0,0.0,12,14,5,0.0,0.0,1.0,0.2484231913009408,,,,
9026045,"Granovetter-transitivity violations (i.e., someone being connected to you who does not know your close friends and family) are more likely to exist among the weak ties of your _____________________",23,8,9,6,200,21,2,0.9130434782608695,0.08695652173913043,8,8,5,0.07939508506616257,0.2817713347133852,0.9130434782608695,0.2484231913009408,0.3771321868341838,-0.3952033983136626,-0.1258796009443516,
9024071,Granovetter’s weak tie principle states that your weak tie contacts don’t necessarily have to be connected to your _____________________ tie contacts.,20,6,7,7,200,19,1,0.95,0.05,6,7,6,0.0475,0.21794494717703367,0.95,0.2484231913009408,0.18682728972097615,,,-0.18682728972097604
9026092,The following is NOT a property of strong ties,22,6,10,6,200,20,2,0.9090909090909091,0.09090909090909091,6,10,4,0.08264462809917356,0.28747978728803447,0.9090909090909091,0.2484231913009408,0.26702375841020537,-0.18426389920503614,,-0.18426389920503614
9026960,"According to Granovetter, this is a property of a strong tie:",17,3,11,3,200,17,0,1.0,0.0,3,11,3,0.0,0.0,1.0,0.2484231913009408,,,,
9024092,"According to Granovetter, your _____________________ tie contacts don’t necessarily have to be connected to your strong tie contacts.",21,7,11,3,200,21,0,1.0,0.0,7,11,3,0.0,0.0,1.0,0.2484231913009408,,,,
9023898,"Because _____________________ ties function as bridges to parts of a social structure to which you wouldn’t otherwise have access, having lots of them counts as social capital whenever it is important to have access to novel information.",24,8,11,5,200,23,1,0.9583333333333334,0.041666666666666664,8,11,4,0.03993055555555556,0.19982631347136331,0.9583333333333334,0.2484231913009408,0.17595778022427608,-0.17595778022427613,,
9023954,"In your network, some ties are new (friends you've made recently) and some ties are old (family and childhood friends). This refers to the tie property of:",26,8,13,5,200,24,2,0.9230769230769231,0.07692307692307693,8,11,5,0.07100591715976332,0.2664693550105965,0.9230769230769231,0.2484231913009408,0.02805331455465865,,-0.01943590645175208,-0.01943590645175208
9024072,"In your network, there are people that you would tell even a very personal secret or seek advice with a problem.	 This refers to the tie property of:",27,9,13,5,200,27,0,1.0,0.0,9,13,5,0.0,0.0,1.0,0.2484231913009408,,,,
9024111,"Rule 2 of Granovetter-transitivity says that if A and B have a strong tie, and B and C have a _____________________ tie there should be at least a weak tie between A and C",25,8,8,9,200,21,4,0.84,0.16,8,7,6,0.1344,0.3666060555964672,0.84,0.2484231913009408,0.39165343241156614,,,-0.3916534324115661
9023902,"Rule 2 of Granovetter-transitivity says that if A and B have a strong tie, and B and C have a strong tie there should be at least a _____________________ tie between A and C",21,10,7,4,200,20,1,0.9523809523809523,0.047619047619047616,10,7,3,0.045351473922902494,0.21295885499997996,0.9523809523809523,0.2484231913009408,0.3694927236218558,,,-0.3694927236218556
9026070,"According to Granovetter, _____________________ ties can function as bridges to parts of a social structure to which you wouldn’t otherwise have access",22,9,10,3,200,22,0,1.0,0.0,9,10,3,0.0,0.0,1.0,0.2484231913009408,,,,
9023951,"According to Granovetter, the tie property of _____________________ is a ""combination of the amount of time, the emotional intensity, [and] the the intimacy...which characterize a tie""",23,6,9,8,200,22,1,0.9565217391304348,0.043478260869565216,6,8,8,0.04158790170132325,0.20393111999232302,0.9565217391304348,0.2484231913009408,0.0219095514817199,,-0.021909551481719903,
9023953,"Granovetter-transitivity violations (i.e., someone being connected to you who does not know your close friends and family) are more likely to exist among the _____________________ ties of your active network",23,8,9,6,200,23,0,1.0,0.0,8,9,6,0.0,0.0,1.0,0.2484231913009408,,,,
9028291,Rule 1 of Granovetter-transitivity says that  if two people are strongly connected they are likely to have _____________________ other friends in common,18,6,7,5,200,18,0,1.0,0.0,6,7,5,0.0,0.0,1.0,0.2484231913009408,,,,
9024073,Rule 1 of _____________________ says that  if two people are strongly connected they are likely to have many other friends in common,25,10,11,4,200,24,1,0.96,0.04,10,10,4,0.038400000000000004,0.19595917942265426,0.96,0.2484231913009408,0.022985975171758315,,-0.0229859751717583,
9026051,"When people involved in standalone dyads (e.g., a married couple) reach a breaking point due to unresolvable differences, one solution is to make them a “temporary” _____________________ tie by embedding them in a relationship with a third party (e.g., mediation, arbitration, counseling).",34,12,15,7,200,32,2,0.9411764705882353,0.058823529411764705,11,15,6,0.05536332179930797,0.23529411764705885,0.9411764705882353,0.2484231913009408,0.028764571348080012,-0.13352717746251191,,0.09346902422375848
9023952,Granovetter-transitivity is _____________________ likely to apply to strong ties in your support clique and sympathy group as it is to other layers of your network.,24,6,10,8,200,24,0,1.0,0.0,6,10,8,0.0,0.0,1.0,0.2484231913009408,,,,
9024110,Granovetter-transitivity is more likely to apply to _____________________ ties in your support clique and sympathy group,15,9,4,2,200,15,0,1.0,0.0,9,4,2,0.0,0.0,1.0,0.2484231913009408,,,,
9026114,"Rule 2 of Granovetter-transitivity says that if A and B have a strong tie, and B and C have a strong tie there should be at least a weak tie between _____________________",17,6,5,6,200,17,0,1.0,0.0,6,5,6,0.0,0.0,1.0,0.2484231913009408,,,,
9024091,Granovetter’s _____________________ states that your weak tie contacts don’t necessarily have to be connected to your strong tie contacts.,26,10,11,5,200,24,2,0.9230769230769231,0.07692307692307693,10,10,4,0.07100591715976332,0.2664693550105965,0.9230769230769231,0.2484231913009408,0.29702934598521946,,,-0.2970293459852195
9023900,"In your network, there are people that you communicate with almost every day. This refers to the tie property of:",37,9,20,8,200,35,2,0.9459459459459459,0.05405405405405406,8,20,7,0.05113221329437546,0.2261243314956961,0.9459459459459459,0.2484231913009408,0.11859074977807024,-0.11859074977807024,,
9023901,Rule 1 of Granovetter-transitivity says that  if two people are _____________________ connected they are likely to have a lot of other friends in common,25,8,8,9,200,25,0,1.0,0.0,8,8,9,0.0,0.0,1.0,0.2484231913009408,,,,
9028106,"Rule 2 of _____________________ says that if A and B have a strong tie, and B and C have a strong tie there should be at least a weak tie between A and C",26,11,10,5,200,25,1,0.9615384615384616,0.038461538461538464,11,10,4,0.036982248520710054,0.1923076923076923,0.9615384615384616,0.2484231913009408,0.4409502346176755,,-0.4409502346176757,
9023955,Weak ties can function as _____________________ to parts of a social structure to which you wouldn’t otherwise have access,23,10,7,6,200,23,0,1.0,0.0,10,7,6,0.0,0.0,1.0,0.2484231913009408,,,,
9011619,Social Network analysis is an interdisciplinary field that includes the following disciplines except:,38,14,15,9,200,36,2,0.9473684210526315,0.05263157894736842,13,14,9,0.04986149584487534,0.22329687826943606,0.9473684210526315,0.2484231913009408,-0.08881260859082689,,0.08881260859082685,
9014732,Social network analysis has two (2) facets. One (1) is called Social Network _____________________ and the other is called Social Network Measurement.,43,13,20,10,200,41,2,0.9534883720930233,0.046511627906976744,13,20,8,0.04434829637641969,0.21059035204970736,0.9534883720930233,0.2484231913009408,0.46401121054881883,,-0.303401610789018,-0.3449502390180871
9023586,Social network analysis has two (2) facets. One (1) is called Social Network _____________________ and the other is called Social Network Theory.,39,13,15,11,200,26,13,0.6666666666666666,0.3333333333333333,10,10,6,0.2222222222222222,0.4714045207910317,0.6666666666666666,0.2484231913009408,0.326123382056631,-0.326123382056631,,
9024064,"In a point and line plot representation of a social network, the lines do not represent _____________________",33,10,15,8,200,27,6,0.8181818181818182,0.18181818181818182,10,13,4,0.1487603305785124,0.38569460791993504,0.8181818181818182,0.2484231913009408,0.5796457462909973,,-0.5796457462909974,
9023584,"In a point and line plot representation of a social network, the points are supposed to be _____________________",34,9,14,11,200,33,1,0.9705882352941176,0.029411764705882353,9,14,10,0.028546712802768166,0.1689577248981773,0.9705882352941176,0.2484231913009408,0.26971461752392395,,-0.2697146175239239,
9011620,This discipline is part of the interdisciplinary field called Social Network Analysis:,44,19,16,9,200,41,3,0.9318181818181818,0.06818181818181818,18,16,7,0.06353305785123967,0.25205764787294127,0.9318181818181818,0.2484231913009408,0.23190010778373857,,-0.034644064963247644,-0.34378949992606955
9011621,Which of the following is not a type of network:,37,14,15,8,200,37,0,1.0,0.0,14,15,8,0.0,0.0,1.0,0.2484231913009408,,,,
9011618,"A _____________________ network is a set of people (or groups of people) linked by social relations of exchange, advice, friendship, enmity, etc.",44,16,17,11,200,44,0,1.0,0.0,16,17,11,0.0,0.0,1.0,0.2484231913009408,,,,
9014734,Which of the following is not a type of technological network:,40,13,19,8,200,39,1,0.975,0.025,13,19,7,0.024375,0.15612494995995996,0.975,0.2484231913009408,0.5422597643573408,-0.5422597643573406,,
9020155,Network Science is an interdisciplinary field that includes all the sciences studying networks. Which of the following is not included in Network Science:,35,16,15,4,200,34,1,0.9714285714285714,0.02857142857142857,16,15,3,0.027755102040816326,0.16659862556700858,0.9714285714285714,0.2484231913009408,0.32993107378919023,,,-0.3299310737891902
9014733,Which of the following is both a social and a technological network:,37,14,10,13,200,33,4,0.8918918918918919,0.10810810810810811,13,9,11,0.09642074506939372,0.3105168998128664,0.8918918918918919,0.2484231913009408,-0.01965604382767969,,,0.01965604382767969
9014731,"In a graph, vertices typically represent _____________________ in the social network",42,14,21,7,200,41,1,0.9761904761904762,0.023809523809523808,13,21,7,0.023242630385487528,0.1524553389864964,0.9761904761904762,0.2484231913009408,-0.12950689652389746,,,0.1295068965238974
9020154,In network analysis another term for edge is:,42,12,21,9,200,42,0,1.0,0.0,12,21,9,0.0,0.0,1.0,0.2484231913009408,,,,
9023585,Network Science is an interdisciplinary field that includes all the sciences studying networks. Which of the following is not included in Network Science:,42,17,17,8,200,42,0,1.0,0.0,17,17,8,0.0,0.0,1.0,0.2484231913009408,,,,
9011622,Which of the following is not a type of social network:,44,11,19,14,200,44,0,1.0,0.0,11,19,14,0.0,0.0,1.0,0.2484231913009408,,,,
9024075,In a graph the ____________________ of a vertex is the set of all other vertices that are adjacent to it.,69,26,27,16,200,69,0,1.0,0.0,26,27,16,0.0,0.0,1.0,0.2484231913009408,,,,
9023910,A graph is a set with two sets as members. One of these sets has _____________________ as its members. The other set has vertices.,65,26,20,19,200,64,1,0.9846153846153847,0.015384615384615385,26,20,18,0.01514792899408284,0.12307692307692307,0.9846153846153847,0.2484231913009408,0.1771440059936027,-0.17714400599360303,,
9024094,A graph is an abstract mathematical object consisting of a vertex set and _____________________ set,47,19,20,8,200,47,0,1.0,0.0,19,20,8,0.0,0.0,1.0,0.2484231913009408,,,,
9023959,"In graph theory, there are three (3) types of ties. The following is not one of them:",61,20,26,15,200,61,0,1.0,0.0,20,26,15,0.0,0.0,1.0,0.2484231913009408,,,,
9023905,"In a directed graph, another name for a disconnected dyad, one that does not have an edge linking the two nodes, is:



         
         
         
         
          "" title=""Mutual."">

",58,21,25,12,200,56,2,0.9655172413793104,0.034482758620689655,21,24,11,0.03329369797859691,0.18246560765962694,0.9655172413793104,0.2484231913009408,0.0907087858943005,-0.02943318029791156,-0.09771815858906668,
9024078,"In a directed graph, another name for a non-reciprocal dyad, one that features directed edges going in only one direction, is:",64,21,28,15,200,64,0,1.0,0.0,21,28,15,0.0,0.0,1.0,0.2484231913009408,,,,
9023957,"In an undirected graph, a node's ________________ is the cardinality of their neighborhood set",54,19,21,14,200,54,0,1.0,0.0,19,21,14,0.0,0.0,1.0,0.2484231913009408,,,,
9023917,"In a directed graph, another name for a reciprocal dyad, one that features directed edges going in both directions, is:",50,17,21,12,200,48,2,0.96,0.04,17,20,11,0.038400000000000004,0.19595917942265426,0.96,0.2484231913009408,0.09586619734383486,-0.08552432960913293,-0.04866039443278273,
9023960,"In a directed graph, each edge has a _________________ node and a _____________ node.",66,23,28,15,200,65,1,0.9848484848484849,0.015151515151515152,23,28,14,0.014921946740128558,0.1221554204287659,0.9848484848484849,0.2484231913009408,0.2383701810959904,,-0.2383701810959905,
9024112,"In a graph, a subgraph is a _____________________ of either vertices or edges of the original graph",62,15,31,16,200,62,0,1.0,0.0,15,31,16,0.0,0.0,1.0,0.2484231913009408,,,,
9023904,"If we delete all the edges in a graph, we end up with the ________________ graph.",54,22,22,10,200,53,1,0.9814814814814815,0.018518518518518517,22,21,10,0.018175582990397805,0.13481684980149108,0.9814814814814815,0.2484231913009408,0.03883064480521841,-0.038830644805218445,,
9023909,"In a directed graph, the cardinality of the set of in-neighbors of a node is that node's ______________",60,24,21,15,200,59,1,0.9833333333333333,0.016666666666666666,24,20,15,0.01638888888888889,0.12801909579781015,0.9833333333333333,0.2484231913009408,0.019233686048390843,,,-0.019233686048390812
9023914,Pairs of vertices are _____________________ if there is a link joining them in the graph.,53,18,23,12,200,52,1,0.9811320754716981,0.018867924528301886,18,23,11,0.018511925952296192,0.13605853869675433,0.9811320754716981,0.2484231913009408,0.2628268744224627,-0.2628268744224628,,
9023916,"In a directed graph, ____________ nodes are destination nodes for links but are never sources",69,21,30,18,200,69,0,1.0,0.0,21,30,18,0.0,0.0,1.0,0.2484231913009408,,,,
9023907,"In a graph, the number of common neighbors of two nodes is given by their respective neighborhood's:",56,18,28,10,200,54,2,0.9642857142857143,0.03571428571428571,18,28,8,0.034438775510204085,0.18557687223952257,0.9642857142857143,0.2484231913009408,0.4797566842537731,-0.4797566842537732,,
9023911,A graph is an abstract mathematical object consisting of a _____________________ set and an edge set,59,20,23,16,200,58,1,0.9830508474576272,0.01694915254237288,20,23,15,0.016661878770468257,0.12908090009938827,0.9830508474576272,0.2484231913009408,0.24883629270890995,-0.24883629270891025,,
9024074,"In a directed graph, the cardinality of the set of out-neighbors of a node is that node's ______________",66,20,32,14,200,65,1,0.9848484848484849,0.015151515151515152,20,32,13,0.014921946740128558,0.1221554204287659,0.9848484848484849,0.2484231913009408,0.46403285432700886,,-0.464032854327009,
9023913,"In a graph, the neighborhood of a vertex is the set of all other vertices that are _____________________ to it.",64,18,28,18,200,63,1,0.984375,0.015625,18,28,17,0.015380859375,0.12401959270615269,0.984375,0.2484231913009408,0.3116584103932413,,,-0.3116584103932413
9024077,"In an undirected graph, a vertex is _____________________ if it has no connections to any other vertices.",63,27,22,14,200,63,0,1.0,0.0,27,22,14,0.0,0.0,1.0,0.2484231913009408,,,,
9024076,"
In a graph, the total number of neighbors of two nodes is given by the cardinality of the set formed by their respective neighborhood's:
",49,16,18,15,200,45,4,0.9183673469387755,0.08163265306122448,16,17,12,0.07496876301541025,0.2738042421428314,0.9183673469387755,0.2484231913009408,0.4135370975311441,,-0.4135370975311442,
9023961,"In a directed graph, ____________ nodes are source nodes for links but are never destinations",66,27,26,13,200,65,1,0.9848484848484849,0.015151515151515152,27,25,13,0.014921946740128558,0.1221554204287659,0.9848484848484849,0.2484231913009408,-0.0005227580092907628,,0.000522758009290763,
9023903,"Two people meet at a party and find they both know a third person. In graph theory, this third person is called their:",49,15,26,8,200,48,1,0.9795918367346939,0.02040816326530612,14,26,8,0.01999167013744273,0.14139190265868384,0.9795918367346939,0.2484231913009408,-0.09707381079502365,0.0970738107950236,,
9023906,__________________ are vertices with no incoming or outgoing links in a directed graph.,56,17,26,13,200,56,0,1.0,0.0,17,26,13,0.0,0.0,1.0,0.2484231913009408,,,,
9023912,If we create a subgraph from an original graph by removing ___________________ the resulting subgraph is called a(n) ______________ subgraph of the original graph.,59,19,25,15,200,39,20,0.6610169491525424,0.3389830508474576,16,13,10,0.2240735420856076,0.4733640692803031,0.6610169491525424,0.2484231913009408,0.214406695956243,,-0.10360200051274077,-0.24840733395259487
9023908,"In a graph, an edge is ___________________ to a node if that node lies at one of its endpoints.",66,19,31,16,200,59,7,0.8939393939393939,0.10606060606060606,19,28,12,0.09481175390266298,0.30791517322578144,0.8939393939393939,0.2484231913009408,0.24272540513951377,-0.22662465763244632,-0.03370070712309642,-0.13316560336879313
9023956,"In a graph, two nodes are ______________________ if there is a link that is incident to both of them.",61,23,22,16,200,60,1,0.9836065573770492,0.01639344262295082,23,21,16,0.01612469766191884,0.12698306053139072,0.9836065573770492,0.2484231913009408,-0.020921794048743312,,0.020921794048743298,
9023915,Pairs of vertices are _____________________ if there is not a link joining them in the graph.,67,27,24,16,200,66,1,0.9850746268656716,0.014925373134328358,27,24,15,0.014702606371129428,0.12125430454680537,0.9850746268656716,0.2484231913009408,0.26501997557723384,-0.26501997557723345,,
9023958,A graph is a set with two sets as members. One of these sets has _____________________ as its members. The other set has edges.,45,15,20,10,200,42,3,0.9333333333333333,0.06666666666666667,15,20,7,0.06222222222222223,0.24944382578492943,0.9333333333333333,0.2484231913009408,0.446217218779741,-0.12151056558604414,-0.45319590751707084,
9023962,"In a directed graph, _______________ nodes are both sources and destinations",63,25,27,11,200,61,2,0.9682539682539683,0.031746031746031744,25,27,9,0.03073822121441169,0.17532319074900413,0.9682539682539683,0.2484231913009408,0.38417060443008016,-0.4094116776443963,,-0.12948834455729763
9024093,"In a graph, the neighborhood of an isolated node is:",64,17,29,18,200,60,4,0.9375,0.0625,17,27,16,0.05859375,0.24206145913796356,0.9375,0.2484231913009408,0.11456034113735732,-0.14738962824241247,,-0.011988630048426163
9024113,A _____________________ is a path of at least length 3 that begins and ends with the same node.,57,22,20,15,200,57,0,1.0,0.0,22,20,15,0.0,0.0,1.0,0.2484231913009408,,,,
9023922,"In a directed graph, node A can reach node B via a directed path. Node B in turn can also reach node A via a directed path, in this case we say that A and B are ______________________ reachable",54,23,20,11,200,52,2,0.9629629629629629,0.037037037037037035,23,20,9,0.03566529492455418,0.18885257457751053,0.9629629629629629,0.2484231913009408,0.21472799783034144,,-0.1122677282489635,-0.18852505309731601
9023964,A directed graph is ___________________ connected if every pair of nodes in the graph can only reach one another via paths that ignore the direction the edge arrows are pointing to.,67,22,34,11,200,66,1,0.9850746268656716,0.014925373134328358,22,33,11,0.014702606371129428,0.12125430454680537,0.9850746268656716,0.2484231913009408,-0.010816422489870373,,,0.010816422489870357
9023919,In a graph a node (B) can reach another node (C) via a path of length three. This path includes node D. This means that C is the _____________________ node.,63,19,26,18,200,55,8,0.873015873015873,0.12698412698412698,17,24,14,0.1108591584782061,0.3329551898952862,0.873015873015873,0.2484231913009408,0.14561808219965935,-0.22260362197538755,-0.06574719202388002,
9023921,The graph ____________________ is the length of the longest shortest path in the graph.,57,20,22,15,200,56,1,0.9824561403508771,0.017543859649122806,20,22,14,0.017236072637734686,0.13128622409733126,0.9824561403508771,0.2484231913009408,0.2594337073587441,,,-0.25943370735874366
